review,rv,rvYear,rvUnits,startYear,studyLength,sampleDepth,controlValue,trtValue,percentChange,norm,Duration of Study,Number of Species,Type of Species,Soil Sample Depth,doi,title,authors,authors_abbrev,pubyear,journal,volume_issue,pages
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,1.01,1.01,0,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,1.09,1.09,0,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,1.09,1.09,0,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,25.3,24.2,-4.35,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,26.5,25.3,-4.53,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,27.6,26.3,-4.71,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,"soil organic carbon (SOC) in fall following cover crop, 0-15cm",1,g/kg,2008,1,0-30 cm,36.4,31.1,-14.56,2,1 year,Single species,Non-legume,0-30 cm,10.2489/jswc.68.6.438,On-farm environmental assessment of corn silage production systems receiving liquid dairy manure,"Krueger, E.S., Baker, J.M., Ochsner, T.E., Wente, C.D., Feyereisen, G.W. & Reicosky, D.C.",Krueger et al.,2013,Journal of Soil and Water Conservation,68(6),438-449
Cover Crops,soil organic carbon 0-30 cm depth (spring),1,g/kg soil,2003,2,0-30 cm,15.6,15,-3.85,2,2 years,Single species,Non-legume,0-30 cm,10.2134/jeq2005.0183,Nitrous oxide emissions from corn-soybean systems in the Midwest,"Parkin, T.B., & Kaspar, T.C.",Parkin & Kaspar,2006,Journal of Environmental Quality,35(4),1496-1506
Cover Crops,soil organic carbon (0-5 cm depth),1;2;3,g/kg soil,2014,3,0-30 cm,26.9,27.3,1.49,2,3 years,Single species,Non-legume,0-30 cm,10.1007/s12155-017-9858-z,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,992-1004
Cover Crops,soil organic carbon (0-5 cm depth),1;2;3,g/kg soil,2014,3,0-30 cm,23.9,26,8.79,2,3 years,Single species,Non-legume,0-30 cm,10.1007/s12155-017-9858-z,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,992-1004
Cover Crops,soil organic carbon (0-5 cm depth),1;2;3,g/kg soil,2014,3,0-30 cm,26.9,28.7,6.69,2,3 years,Single species,Non-legume,0-30 cm,10.1007/s12155-017-9858-z,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,992-1004
Cover Crops,soil organic carbon (0-5 cm depth),1;2;3,g/kg soil,2014,3,0-30 cm,23.9,25.4,6.28,2,3 years,Single species,Non-legume,0-30 cm,10.1007/s12155-017-9858-z,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,992-1004
Cover Crops,organic carbon (0-15 cm),1,g/kg soil,2013,1,0-30 cm,24.2,22,-9.09,2,1 year,Single species,Non-legume,0-30 cm,10.1097/SS.0000000000000187,Short-term nitrogen mineralization potential in soils of biofuel cropping systems,"Meng, Y., Chua-Ona, T., & Thompson, M.L.",Meng et al.,2016,Soil Science,181(11/12),503-512
Cover Crops,organic carbon (0-15 cm),1,g/kg soil,2013,1,0-30 cm,0.2,0.2,0,2,1 year,Single species,Non-legume,0-30 cm,10.1097/SS.0000000000000187,Short-term nitrogen mineralization potential in soils of biofuel cropping systems,"Meng, Y., Chua-Ona, T., & Thompson, M.L.",Meng et al.,2016,Soil Science,181(11/12),503-512
Cover Crops,soil carbon concentration (0-5 cm depth),1;2;3;4;5;6;7,g carbon/g soil,1996,7,0-30 cm,0.0389,0.0386,-0.77,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2005.0095,Examining changes in soil organic carbon with oat and rye cover crops using terrain covariates,"Kaspar, T.C., Parkin, T.B., Jaynes, D.B., Cambardella, C.A., Meek, D.W., & Jung, Y.S.",Kaspar et al.,2006,Soil Science Society of America Journal,70(4),1168-1177
